A0.05 (Soc Sci) | a005
A0.23 (Soc Sci) | a023
A0.26 (Millburn) | a026
A0.28 (Millburn) | a028
A0.30 (Gibbet Hill) | a030
A0.39 (Gibbet Hill) | a039
A0.41 (Gibbet Hill) | a041
A0.42 (Gibbet Hill) | a042
A1.01 (Zeeman) | msa101
A1.25 (Millburn) | a125
A1.27 (Millburn) | a127
A1.28 (Millburn) | a128
A1.50 (Gibbet Hill) | a150
B2.01 (Sci Conc) | b201
B2.02 (Sci Conc) | b202
B2.03 (Sci Conc) | b203
B2.04/5 (Sci Conc) | b204
B3.03 (Zeeman) | msb303
BO_H1.04 | #SPLUSB0BA7F
BS_BSR2 | #SPLUS90E628
BS_BSR4 | #SPLUS90E626
BS_E018 | #SPLUSB70AF7
BS_E109 | #SPLUSB70AF8
BS_E110 | #SPLUSA47F62
BSR1 (Gibbet Hill) | bsr1
BSR3 (Gibbet Hill) | bsr3
BSR5 (Gibbet Hill) | bsr5
C1.11/15 (Soc Sci) | c1.11/15
CE_Pigeon Loft | #SPLUSB34D5A
CH_C5.06 | #SPLUSB34D3D
CH_C5.21 | #SPLUSB34D3E
CH_C5.23 | #SPLUSEFBF5D
CH_LABS3 | #SPLUSFF38C5
CH_LABS4 | #SPLUSFF38C4
CHANCELLORS 1 | #SPLUSC61A0B
CHANCELLORS 2 | #SPLUSC61A0C
CHANCELLORS 3 | #SPLUSC61A0D
COUNCIL CHAMBER | #SPLUSCC9DBC
CS_CS0.01 | #SPLUSC20EB8
CS_CS0.03 | #SPLUSD828AE
CS_CS0.06 | #SPLUS8A304C
CS_CS0.07 | #SPLUS466699
CS_CS1.01 | #SPLUSD82898
CS_CS1.04 | #SPLUS11266
CS_MB0.01 | #SPLUS87B2A0
CS_MB3.17 | #SPLUSD1AA50
CW_FAB2.49 | #SPLUSC9D951
CW_G.08 | #SPLUS18C89A
CX_FAB2.01 | #SPLUSB70DE1
CX_FAB2.23 | #SPLUSC9D94D
CX_H2.04 | #SPLUS16777217
D0.06 (Zeeman) | msd006
E0.23 (Soc Sci) | e023
EC_S2.79 | #SPLUSC5CCDB
EC_S2.86 | #SPLUS66A15A
EN_G.03 | #SPLUSCF1336
EN_G.06 | #SPLUSB98C17
EN_H5.01 | #SPLUSD828B2
EN_H5.07 | #SPLUSEFBF61
EN_H5.42 | #SPLUSD827E9
EN_H5.43 | #SPLUSEFBF62
ES_A0.08a | #SPLUS4BA2CA
ES_A2.02 | #SPLUS4BA254
ES_A2.05a | #SPLUSC00F9D
ES_A2.05b | #SPLUSC00F9E
ES_A2.06 | #SPLUSCF4E3A
ES_A4.01 | #SPLUSB34D49
ES_D0.02 | #SPLUS4BA1B7
ES_D0.04 | #SPLUS45C7D8
ES_D0.09 | #SPLUS45C7F7
ES_D1.01 | #SPLUS066AC1
ES_D1.02 | #SPLUS066AC2
ES_D2.02 | #SPLUSFC9261
ES_EBS1.1 | #SPLUS203225
ES_EBS1.3 | #SPLUS203226
ES_F0.03 | #SPLUS4BA1B9
ES_F0.24 | #SPLUSCF4ECD
ES_F0.25 | #SPLUS637F29
ES_F0.25a | #SPLUS637F42
ES_F1.05 | #SPLUSB0BAC3
ES_F1.06 | #SPLUSF9B1E0
ES_F2.10 | #SPLUS4BA213
ES_F2.11 | #SPLUSE35FDD
ES_F2.15 | #SPLUSE35FDE
ET_A0.14 | #SPLUSB34D40
ET_A1.05 | #SPLUSB34D41
ET_A1.11 | #SPLUS62D1E0
ET_S1.102 | #SPLUS3131B5
ET_S1.71 | #SPLUSB34D46
ET_S1.88 | #SPLUSB0BA82
ET_S2.85 | #SPLUSB34D47
F25A (Millburn) | f25a
F25B (Millburn) | f25b
FAB0.03 | fab003
FAB0.08 | fab008
FAB0.23 | fab023
FAB1.05 | fab105
FAB1.06 | fab106
FAB1.07 | fab107
FAB1.08 | fab108
FAB1.09 | fab109
FAB1.10 | fab110
FAB1.11 | fab111
FAB1.12 | fab112
FAB1.13 | fab113
FAB1.14 | fab114
FAB1.15 | fab115
FAB1.37 - open room/kobi | fab137
FAB2.25 - open room | fab225
FAB2.31 | fab231
FAB2.32 | fab232
FAB2.33 | fab233
FAB2.34 | fab234
FAB2.35 | fab235
FAB2.36 | fab236
FAB2.43 | fab243
FAB2.47 - open room/kobi | fab247
FAB2.48 - kobi | fab248
FAB2.61 - open room/kobi | fab261
FAB3.25 | fab325
FAB3.26 - open room | fab326
FAB3.28 | fab328
FAB3.29 | fab329
FAB3.30 | fab330
FAB3.31 | fab331
FAB3.32 | fab332
FAB3.33 | fab333
FAB3.35 - open room/kobi | fab335
FAB4.01 - open room/kobi | fab401
FAB4.52 - open room | fab452
FAB4.73 | fab473
FAB4.74 - open room | fab474
FAB4.78 | fab478
FAB4.79 | fab479
FAB4.80 | fab480
FAB5.01 | fab501
FAB5.02 | fab502
FAB5.03 | fab503
FAB5.07 | fab507
FAB5.30 - open room/kobi | fab530
FAB5.52 | fab552
FAB6.01 | fab601
FAB6.02 | fab602
FAB6.03 - kobi | fab603
FAB6.04 | fab604
FAB6.05 | fab605
FC_MB2.22 | #SPLUS3075A0
FC_MB2.23 | #SPLUS9A6B5B
FC_MB2.24 | #SPLUSA145F5
FD_S2.77 | #SPLUSB0BABB
FI_A0.26 | #SPLUSF435CE
FI_A1.25 | #SPLUSC4ED96
FI_A1.27 | #SPLUS066A99
FI_FABM0.07 | fabm007
FI_FABM0.09 | fabm009
FI_FABM0.10 | fabm010
FI_FABM0.21 | fabm021
FP_WE1.26 | #SPLUSA10F7B
GLT1 | glt1
GLT2 | glt2
GLT3 | glt3
GLT4 | glt4
H0.01 | h001
H0.02 | h002
H0.03 | h003
H0.05 | h005
H0.43 | h043
H0.44 | h044
H0.51 | h051
H0.52 | h052
H0.56 | h056
H0.58 | h058
H0.60 | h060
H0.61 | h061
H0.64 | h064
H0.66 | h066
H1.02 | h102
H1.03 | h103
H1.07 | h107
H2.03 | h203
H2.44 | h244
H2.45 | h245
H2.46 | h246
H3.02 | h302
H3.05 | h305
H3.44 | h344
H3.55 | h355
H3.56 | h356
H3.57 | h357
H3.58 | h358
H4.01 | h401
H4.02 | h402
H4.03 | h403
H4.22/4 | h4224
H4.45 | h445
H5.22 | h522
H5.45 | h545
HA_F.25B | #SPLUS03535D
HA_F.37 | #SPLUS068077
HI_H1.05 | #SPLUS1E7B14
HI_H3.03 | #SPLUSB430D8
HI_H3.45 | #SPLUSB0BAC9
HI_H3.47 | #SPLUS04999A
IB_0.002 | #SPLUS4F2691
IB_0.002a | #SPLUS4F2692
IB_0.004 | #SPLUS4F2693
IB_0.006 | #SPLUSB0BAA9
IB_0.009 | #SPLUSB0BAA0
IB_0.011 | #SPLUSB0BA9F
IB_0.013 | #SPLUS12002
IB_0.102 | #SPLUSB0BAA3
IB_0.103 | #SPLUSB0BAA1
